scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
6350,100,True,110,10.47,169.53,180
6375,100,True,110,7.41,159.67,167.08
6400,100,True,110,8.47,162.43,170.9
6425,100,True,110,7.79,161.77,169.56
6450,100,True,110,9.67,172.51,182.17
6475,100,True,110,8.82,174.92,183.73
6500,100,True,110,8.78,197.98,206.76
6525,100,True,110,14.95,165.33,180.28
6550,100,True,110,7.41,169.66,177.07
6575,100,True,110,6.85,164.27,171.12
6600,100,True,110,8.66,162.74,171.4
6625,100,True,110,8.96,175.07,184.03
6650,100,True,110,16.04,180.08,196.13
6675,100,True,110,15.11,166.61,181.72
6700,100,True,110,7.88,165.56,173.45
6725,100,True,110,8.34,183.37,191.71
6750,100,True,110,7.9,168.14,176.04
6775,100,True,110,6.98,166.75,173.73
6800,100,True,110,8.83,167.52,176.35
6825,100,True,110,14.18,171.08,185.26
6850,100,True,110,6.89,160.58,167.47
6875,100,True,110,13.78,166.96,180.74
6900,100,True,110,9.6,167.3,176.9
6925,100,True,110,7.24,161.25,168.49
6950,100,True,110,7.6,162.95,170.55
6975,100,True,110,7.2,173.14,180.34
7000,100,True,110,7.54,178.49,186.04
7025,100,True,110,9.59,181.37,190.96
7050,100,True,110,9.29,196.18,205.48
7075,100,True,110,11.91,180.49,192.4
7100,100,True,110,8.41,186.11,194.52
7125,100,True,110,8.73,188.88,197.61
7150,100,True,110,7.86,187.85,195.7
7175,100,True,110,15.16,203.78,218.94
7200,100,True,110,7.8,186.02,193.82
7225,100,True,110,11.98,180.11,192.08
7250,100,True,110,116.16,189.19,305.35
7275,100,True,110,16.8,200.87,217.67
7300,100,True,110,9.69,190.23,199.92
7325,100,True,110,17.97,202.58,220.55
7350,100,True,110,14.3,196.01,210.32
7375,100,True,110,13.5,194.94,208.44
7400,100,True,110,12.52,184.72,197.23
7425,100,True,110,13.29,199.53,212.82
7450,100,True,110,19.04,208.09,227.14
7475,100,True,110,13.77,202.43,216.2
7500,100,True,110,13.85,200.9,214.75
7525,100,True,110,16.6,205.41,222.02
7550,100,True,110,16.26,195.72,211.98
7575,100,True,110,18.6,205.7,224.3
7600,100,True,110,12.79,190.37,203.16
7625,100,True,110,17.99,201.66,219.65
7650,100,True,110,16,190.97,206.97
7675,100,True,110,6.87,180.59,187.45
7700,100,True,110,7.94,179.9,187.84
7725,100,True,110,12.33,192.89,205.22
7750,100,True,110,15.51,207.97,223.48
7775,100,True,110,8.35,186.1,194.45
7800,100,True,110,10.72,191.35,202.07
7825,100,True,110,9.07,199.85,208.92
7850,100,True,110,8.37,197.46,205.83
7875,100,True,110,8.79,201.35,210.14
7900,100,True,110,8.04,210.41,218.44
7925,100,True,110,10.23,203.48,213.71
7950,100,True,110,10.54,200.72,211.26
7975,100,True,110,8.45,240.56,249.01
8000,100,True,110,8.7,212.49,221.19
8025,100,True,110,16.94,195.71,212.65
8050,100,True,110,8.08,195.92,204
8075,100,True,110,8.95,192.23,201.18
8100,100,True,110,9.21,195.68,204.89
8125,100,True,110,7.82,200.03,207.86
8150,100,True,110,9.06,198.92,207.98
8175,100,True,110,8.91,216.67,225.58
8200,100,True,110,7.84,199.15,206.99
8225,100,True,110,7.55,199.94,207.49
8250,100,True,110,8.57,194.2,202.77
8275,100,True,110,8.71,203.86,212.57
8300,100,True,110,8.85,195.76,204.6
8325,100,True,110,8.22,201.02,209.24
8350,100,True,110,9.05,195.84,204.88
8375,100,True,110,8.14,199.01,207.14
8400,100,True,110,8.02,203.76,211.78
8425,100,True,110,7.97,203.86,211.83
8450,100,True,110,7.67,205.5,213.17
8475,100,True,110,7.74,201.44,209.18
8500,100,True,110,7.7,209.95,217.65
8525,100,True,110,8.9,203.9,212.8
8550,100,True,110,9.66,203.49,213.15
8575,100,True,110,8.01,205.55,213.56
8600,100,True,110,11.98,216.39,228.37
8625,100,True,110,7.97,206.62,214.59
8650,100,True,110,7.66,224.19,231.85
8675,100,True,110,8.78,199.23,208.01
8700,100,True,110,9.33,240.09,249.42
8725,100,True,110,7.84,200.03,207.87
8750,100,True,110,8.08,202.23,210.32
8775,100,True,110,8.13,206.47,214.6
8800,100,True,110,8.37,203.22,211.58
8825,100,True,110,7.59,211.17,218.76
8850,100,True,110,9.92,210.67,220.59
8875,100,True,110,8.52,204.08,212.59
8900,100,True,110,9.24,204.78,214.02
8925,100,True,110,7.45,207.42,214.88
8950,100,True,110,8.2,204.03,212.23
8975,100,True,110,8.59,204.21,212.81
9000,100,True,110,7.41,201.43,208.85
9025,100,True,110,7.58,211.54,219.12
9050,100,True,110,7.59,240.77,248.36
9075,100,True,110,8.24,202.15,210.39
9100,100,True,110,8.98,217.21,226.19
9125,100,True,110,8.65,216.31,224.96
9150,100,True,110,7.62,210.65,218.26
9175,100,True,110,8.3,207.6,215.9
9200,100,True,110,8.51,221.77,230.28
9225,100,True,110,8.01,219.29,227.3
9250,100,True,110,7.98,218.24,226.22
9275,100,True,110,8.79,213.32,222.1
9300,100,True,110,17.22,204.65,221.87
9325,100,True,110,13.86,230.44,244.29
9350,100,True,110,11.08,208.2,219.27
9375,100,True,110,7.17,206.08,213.25
9400,100,True,110,7.92,211.42,219.34
9425,100,True,110,7.55,208.63,216.18
9450,100,True,110,7.94,219.58,227.52
9475,100,True,110,11.83,249.12,260.95
9500,100,True,110,10.25,216,226.25
9525,100,True,110,7.14,213.66,220.8
9550,100,True,110,17.28,222.19,239.47
9575,100,True,110,11.66,225.09,236.75
9600,100,True,110,9.4,214.53,223.93
9625,100,True,110,8.13,215.05,223.18
9650,100,True,110,7.52,216.13,223.65
9675,100,True,110,8.35,219.51,227.86
9700,100,True,110,7.76,218.23,225.99
9725,100,True,110,7.51,214.65,222.16
9750,100,True,110,8.76,221.23,229.99
9775,100,True,110,8.87,219.55,228.41
9800,100,True,110,8.99,225.2,234.19
9825,100,True,110,7.34,224.39,231.73
9850,100,True,110,15.23,227.34,242.58
9875,100,True,110,7.02,219.78,226.8
9900,100,True,110,8.78,225.66,234.44
9925,100,True,110,7.48,232.55,240.03
9950,100,True,110,15.43,214.41,229.85
9975,100,True,110,8.29,217.05,225.35
10000,100,True,110,9.41,234.01,243.42
10025,100,True,110,8.45,216.12,224.57
10050,100,True,110,8.04,242.91,250.96
10075,100,True,110,8.13,236.45,244.58
10100,100,True,110,7.61,225.3,232.91
10125,100,True,110,8.42,214.89,223.32
10150,100,True,110,8.34,216.34,224.68
10175,100,True,110,8.74,218.74,227.48
10200,100,True,110,7.49,225.41,232.89
10225,100,True,110,7.6,219.48,227.08
10250,100,True,110,9.01,217.35,226.36
10275,100,True,110,8.44,234.75,243.19
10300,100,True,110,7.87,224.28,232.15
10325,100,True,110,9.6,227.45,237.04
10350,100,True,110,9.72,233.55,243.27
10375,100,True,110,9.2,270.29,279.48
10400,100,True,110,8.17,233.58,241.75
10425,100,True,110,7.24,245.88,253.12
10450,100,True,110,10.61,239.5,250.1
10475,100,True,110,16.68,231.44,248.12
10500,100,True,110,8.88,242.9,251.79
10525,100,True,110,8.22,231.95,240.17
10550,100,True,110,7.99,226.03,234.02
10575,100,True,110,8.68,229.25,237.93
10600,100,True,110,15.59,280.71,296.3
10625,100,True,110,9.55,228.44,237.99
10650,100,True,110,7.43,228.52,235.95
10675,100,True,110,8.09,250.22,258.31
10700,100,True,110,7.62,227.69,235.31
10725,100,True,110,7.81,227.07,234.88
10750,100,True,110,8.21,241.47,249.69
10775,100,True,110,7.33,243.29,250.62
10800,100,True,110,8.25,232.37,240.62
10825,100,True,110,8.32,236.6,244.93
10850,100,True,110,7.95,239.66,247.61
10875,100,True,110,8.41,236.89,245.3
10900,100,True,110,8.26,236.42,244.67
10925,100,True,110,7.37,256.31,263.67
10950,100,True,110,9.95,234.08,244.03
10975,100,True,110,9.49,234.84,244.34
11000,100,True,110,8.88,245.89,254.77
11025,100,True,110,8.03,243.69,251.72
11050,100,True,110,9.22,245.72,254.95
11075,100,True,110,8.98,255.59,264.58
11100,100,True,110,12.06,254.45,266.52
11125,100,True,110,11.04,252,263.03
11150,100,True,110,11.37,243.49,254.86
11175,100,True,110,8.03,238.18,246.21
11200,100,True,110,9.41,237.78,247.19
11225,100,True,110,9.22,233.89,243.11
11250,100,True,110,8.13,242.83,250.96
11275,100,True,110,9.04,241.19,250.23
11300,100,True,110,9.12,238.59,247.71
11325,100,True,110,8.28,246.79,255.07
11350,100,True,110,8.08,239.34,247.42
11375,100,True,110,7.6,237.98,245.58
11400,100,True,110,7.74,235.67,243.41
11425,100,True,110,8.48,239.38,247.86
11450,100,True,110,8.92,235.39,244.31
11475,100,True,110,8,236.8,244.8
11500,100,True,110,9.36,249.98,259.35
11525,100,True,110,7.98,245.62,253.6
11550,100,True,110,11.99,261.19,273.18
11575,100,True,110,11.02,267.3,278.32
11600,100,True,110,16.44,264.97,281.41
11625,100,True,110,17.25,285.36,302.61
11650,100,True,110,13.17,267.07,280.24
11675,100,True,110,15.26,262.71,277.97
11700,100,True,110,8.12,251.01,259.13
11725,100,True,110,15.54,282.7,298.24
11750,100,True,110,12.69,261.86,274.55
11775,100,True,110,16.82,264.25,281.07
11800,100,True,110,8.25,267.32,275.57
11825,100,True,110,18.07,266.43,284.5
11850,100,True,110,10.47,270.48,280.95
11875,100,True,110,7.44,259.44,266.88
11900,100,True,110,15.74,255.43,271.17
11925,100,True,110,7.92,247.12,255.04
11950,100,True,110,10.32,270.39,280.71
11975,100,True,110,8.4,285.43,293.84
