id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_213,UNI5521137649125552058,0.17,0,0.19,0
conj_214,Compute6943830827234678969,0.16,0,0.16,0
conj_215,DeterminethepersonRefinasession,0.18,0,0.18,0
conj_216,DeterminethesessionsUserid,0.15,0,0.16,0
conj_217,UNI2700040347086277942,0.17,0,0.15,0
conj_218,Compute6860905038416267864,0.15,0,0.16,0
conj_219,UNI3822715504169072019,0.17,0,0.19,0
conj_220,UNI1689917230137489252,0.18,0,0.18,0
conj_221,UNI5556592202416024201,0.18,0,0.27,0
conj_222,UNI115909232777511357,0.2,0,0.18,0
conj_223,UNI3125398762813715155,0.18,0,0.18,0
conj_224,UPWLogin,0.38,0,0.37,0
conj_225,Autologin,0.25,0,0.25,0
conj_226,AnonymousSessionRoles,0.2,0,0.18,0
conj_227,UNI7956491316598136372,0.37,0,0.19,0
conj_228,ClearallowedsessionrolesinUsersessions;DeactivaterolesinaUsersessionthatarerevokedfromtheUsersAccount,1.2,0,8.65,0
conj_229,ClearthepersonRefinasession,0.23,0,0.28,0
conj_230,UNI8998498648323527696,0.2,0,0.19,0
conj_231,UNI8849991668866865090,0.17,0,0.19,0
conj_232,UNI3730431056479538658,0.15,0,0.19,0
conj_233,UNI277180906493685520,0.29,0,0.2,0
conj_234,UNI6248765528254562826,0.18,0,0.16,0
conj_235,UNI3023045417581404980,0.2,0,0.21,0
conj_236,UNI1294537262985805410,0.2,0,0.2,0
conj_237,Additionalreauthenticationmustbeforthesameuseraccount,0.25,0,0.17,0
conj_238,UNI106663896368569048,0.15,0,0.18,0
conj_239,UNI8923130874914734534,0.21,0,0.29,0
conj_240,UNI7820576684176922058,0.19,0,0.25,0
conj_241,identity8121566100429655662,0.3,0,0.4,0
conj_242,UNI4955818998297789004,0.19,0,0.24,0
conj_243,UNI6361059657173561294,0.15,0,0.16,0
conj_244,UNI6877877716305569272,0.19,0,0.15,0
conj_245,UNI62498376383004461,0.15,0,0.18,0
conj_246,UNI2073049889714443824,0.18,0,0.18,0
conj_247,UNI5875036449703451147,0.24,0,0.25,0
conj_248,UNI3046759697608303302,0.2,0,0.16,0
conj_249,UNI2897357595658296006,7.38,0,64.41,0
conj_250,UNI8650408566239088581,7.44,0,62.83,0
conj_251,UNI6235643113471653291,0.22,0,0.32,0
conj_252,UNI350093350564336664,0.18,0,0.21,0
conj_253,UNI6626625478081681315,0.34,0,0.17,0
conj_254,UNI7534896228675356862,0.23,0,0.17,0
conj_255,UNI1336139023242775743,0.17,0,0.18,0
conj_256,UNI2111722414489219918,0.19,0,0.17,0
conj_257,UNI661609430162186023,0.16,0,0.18,0
conj_258,UNI582005638954572719,0.16,0,0.17,0
conj_259,UNI7492216191936222994,0.18,0,0.16,0
conj_260,identity4773386452312449770,0.24,0,0.21,0
conj_261,UNI2134210703028276449,0.17,0,0.19,0
conj_262,UNI5430277608182368989,0.17,0,0.13,0
conj_263,UNI4610904714434740918,0.18,0,0.17,0
conj_264,UNI941216515740301963,0.18,0,0.18,0
conj_265,UNI6935334861404115550,0.16,0,0.19,0
conj_266,UNI2606536291687354502,0.17,0,0.16,0
conj_267,Compute3294563594874021666,0.18,0,0.18,0
conj_268,Removeexpiredsessions,0.17,0,0.15,0
conj_269,Submittor,0.24,0,0.17,0
conj_270,PrototypeContext.ASY1281036245684789643,0.29,0,0.2,0
conj_271,PrototypeContext.SYM1281036245684789643,0.16,0,0.12,0
conj_272,PrototypeContext.ASY2929575726137283991,0.17,0,0.21,0
conj_273,PrototypeContext.SYM2929575726137283991,0.14,0,0.15,0
conj_274,PrototypeContext.ASY1351479429284401801,0.24,0,0.21,0
conj_275,PrototypeContext.ASY2774696913355351083,0.22,0,0.21,0
conj_276,PrototypeContext.SYM2774696913355351083,0.15,0,0.15,0
conj_277,ASY4126518529494829744,0.24,0,0.24,0
conj_278,SYM4126518529494829744,0.13,0,0.11,0
conj_279,ASY7382357686650527613,0.21,0,0.19,0
conj_280,SYM7382357686650527613,0.12,0,0.14,0
conj_281,ASY7947132917451382854,1.51,0,12.47,0
conj_282,SYM7947132917451382854,0.87,0,6.62,0
conj_283,ASY9172587998251935961,1.63,0,12.6,0
conj_284,SYM9172587998251935961,0.91,0,6.48,0
conj_285,ASY7072671161078620726,0.17,0,0.19,0
conj_286,SYM7072671161078620726,0.27,0,0.2,0
conj_287,ASY3493534666395186405,0.18,0,0.18,0
conj_288,SYM3493534666395186405,0.12,0,0.28,0
conj_289,ASY2843163181122214783,0.17,0,0.19,0
conj_290,SYM2843163181122214783,0.14,0,0.13,0
conj_291,ASY7352086102017562562,0.19,0,0.17,0
conj_292,SYM7352086102017562562,0.12,0,0.1,0
conj_293,ASY3585598202944245916,0.2,0,0.21,0
conj_294,SYM3585598202944245916,0.14,0,0.31,0
conj_295,ASY2804792183815505881,0.18,0,0.2,0
conj_296,SYM2804792183815505881,0.12,0,0.12,0
conj_297,ASY4337333777700002187,0.2,0,0.26,0
conj_298,SYM4337333777700002187,0.16,0,0.12,0
conj_299,ASY7547663604599314229,0.38,0,0.19,0
conj_300,SYM7547663604599314229,0.14,0,0.12,0
conj_301,ASY4774645661269916105,0.22,0,0.18,0
conj_302,SYM4774645661269916105,0.14,0,0.12,0
conj_303,ASY6907701090098994598,0.19,0,0.18,0
conj_304,SYM6907701090098994598,0.2,0,0.13,0
conj_305,ASY8315285510604390347,0.4,0,0.25,0
conj_306,SYM8315285510604390347,0.13,0,0.16,0
conj_307,ASY1095661169782432840,0.21,0,0.19,0
conj_308,SYM1095661169782432840,0.19,0,0.16,0
conj_309,ASY5396909113034528125,1.46,0,0.26,0
conj_310,SYM5396909113034528125,0.16,0,0.13,0
conj_311,ASY3051461949893720724,0.23,0,0.23,0
conj_312,SYM3051461949893720724,0.15,0,0.15,0
conj_313,ASY5945078787289474809,0.17,0,0.21,0
conj_314,SYM5945078787289474809,0.14,0,0.14,0
conj_315,ASY4855687425146793967,0.2,0,0.21,0
conj_316,SYM4855687425146793967,0.12,0,0.12,0
conj_317,ASY1456666932048182335,0.2,0,0.19,0
conj_318,SYM1456666932048182335,0.12,0,0.15,0
conj_319,ASY9143579472439309443,0.19,0,0.18,0
conj_320,SYM9143579472439309443,0.27,0,0.12,0
conj_321,ASY1689917230137489252,0.21,0,0.2,0
conj_322,SYM1689917230137489252,0.13,0,0.14,0
conj_323,ASY5556592202416024201,0.21,0,0.21,0
conj_324,SYM5556592202416024201,0.14,0,0.15,0
conj_325,ASY115909232777511357,0.22,0,0.27,0
conj_326,SYM115909232777511357,0.13,0,0.13,0
conj_327,ASY3125398762813715155,0.2,0,0.19,0
conj_328,SYM3125398762813715155,0.12,0,0.13,0
conj_329,ASY7956491316598136372,0.22,0,0.2,0
conj_330,SYM7956491316598136372,0.14,0,0.13,0
conj_331,ASY8998498648323527696,0.2,0,0.19,0
conj_332,SYM8998498648323527696,0.11,0,0.11,0
conj_333,ASY8849991668866865090,0.17,0,0.21,0
conj_334,SYM8849991668866865090,0.11,0,0.11,0
