scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
5000,100,True,110,8.42,111.7,120.12
5025,100,True,110,8.29,108.45,116.74
5050,100,True,110,8.93,110.88,119.81
5075,100,True,110,7.16,108.13,115.28
5100,100,True,110,8.35,112.21,120.56
5125,100,True,110,8.24,118.77,127.01
5150,100,True,110,9.4,112.4,121.8
5175,100,True,110,7.49,122.46,129.96
5200,100,True,110,8.79,114.58,123.37
5225,100,True,110,16.73,116.85,133.57
5250,100,True,110,8.82,120.22,129.04
5275,100,True,110,11.81,117.37,129.18
5300,100,True,110,8.58,108.23,116.81
5325,100,True,110,7.46,109.75,117.21
5350,100,True,110,7.94,111.28,119.22
5375,100,True,110,10.14,115.09,125.23
5400,100,True,110,8.61,117.87,126.48
5425,100,True,110,7.98,112.09,120.07
5450,100,True,110,8.49,117.05,125.54
5475,100,True,110,8.27,112.27,120.54
5500,100,True,110,7.88,111.95,119.83
5525,100,True,110,8.65,116.19,124.84
5550,100,True,110,8.07,112.42,120.49
5575,100,True,110,7.6,114.38,121.98
5600,100,True,110,10.86,113.51,124.37
5625,100,True,110,9.45,112.47,121.92
5650,100,True,110,7.59,119.88,127.47
5675,100,True,110,9.12,119.37,128.49
5700,100,True,110,9.04,112.85,121.89
5725,100,True,110,7.63,176.99,184.62
5750,100,True,110,7.66,131.06,138.72
5775,100,True,110,9.25,117.04,126.29
5800,100,True,110,8.54,130.86,139.4
5825,100,True,110,8.51,120.27,128.78
5850,100,True,110,8.3,115.29,123.59
5875,100,True,110,7.46,116.67,124.13
5900,100,True,110,7.97,118.99,126.96
5925,100,True,110,7.85,122.39,130.23
5950,100,True,110,10.57,118.52,129.08
5975,100,True,110,9.39,118.26,127.65
6000,100,True,110,7.53,121.65,129.19
6025,100,True,110,7.75,119.67,127.42
6050,100,True,110,8.3,125.04,133.34
6075,100,True,110,7.81,126.61,134.42
6100,100,True,110,9.61,123.4,133.01
6125,100,True,110,7.89,121.08,128.97
6150,100,True,110,7.88,122.45,130.33
6175,100,True,110,8.43,120.24,128.67
6200,100,True,110,23,127.03,150.03
6225,100,True,110,7.7,124.22,131.92
6250,100,True,110,16.05,130.57,146.62
6275,100,True,110,9.17,134.2,143.37
6300,100,True,110,9.35,132.79,142.14
6325,100,True,110,8.58,132.05,140.63
6350,100,True,110,14.84,132.29,147.14
6375,100,True,110,12.44,132.05,144.48
6400,100,True,110,7.99,127.17,135.16
6425,100,True,110,6.82,129.34,136.16
6450,100,True,110,8.72,151.66,160.38
6475,100,True,110,16.49,132.67,149.16
6500,100,True,110,8.09,145.44,153.53
6525,100,True,110,8.4,137.38,145.78
6550,100,True,110,10.47,133.48,143.95
6575,100,True,110,8.42,145.82,154.23
6600,100,True,110,7.04,134.89,141.93
6625,100,True,110,8.35,131.2,139.55
6650,100,True,110,9.51,136.25,145.76
