scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
4000,46,ins,66.875,508405.166,1
4000,47,del,70.166,524043.709,1
4000,48,ins,37.042,512206.083,1
4000,49,ins,31.917,508790.167,1
4000,50,del,57.833,167973.125,1
4000,51,ins,43.25,507214.291,1
4000,52,ins,46.25,171461.917,1
4000,53,del,68.875,1464375.417,3
4000,54,ins,60.583,517121.125,1
4000,55,del,47.042,168613.416,1
4000,56,del,68.792,500435.042,1
4000,57,ins,74.5,1470301.125,3
4000,58,ins,53.292,513646.125,1
4000,59,ins,34.459,183329.041,1
4000,60,ins,36.459,503127.292,1
4000,61,del,70.833,1464476.125,3
4000,62,del,93.75,1187793.125,3
4000,63,ins,53.708,171116.667,1
4000,64,del,59.292,1191741.209,3
4000,65,del,55.167,170981.208,1
4000,66,ins,36.542,501393.333,1
4000,67,del,71.875,513114.083,1
4000,68,ins,38.917,176070.875,1
4000,69,del,97.208,1429086.084,3
4000,70,del,96.459,172590.833,1
4000,71,del,44.916,514951.0,1
4000,72,del,43.042,503735.25,1
4000,73,ins,51.208,1183004.959,3
4000,74,del,103.084,1154578.125,3
4000,75,del,93.625,502525.0,1
4000,76,del,101.375,1183686.0,3
4000,77,ins,57.417,170852.458,1
4000,78,ins,38.875,497743.333,1
4000,79,ins,38.0,496687.0,1
4000,80,ins,49.041,1456023.667,3
4000,81,del,101.5,501378.084,1
4000,82,ins,57.792,1167720.084,3
4000,83,ins,67.333,1166580.334,3
4000,84,del,86.834,1477309.25,3
4000,85,ins,98.583,1213879.708,3
4000,86,ins,72.292,1181543.291,3
4000,87,ins,68.5,503706.667,1
4000,88,ins,43.791,170886.167,1
4000,89,del,76.166,180865.25,1
4000,90,ins,34.834,502944.875,1
4000,91,del,40.125,170238.208,1
4000,92,del,144.875,534822.125,1
4000,93,ins,39.042,513394.5,1
4000,94,ins,64.917,1254053.792,3
4000,95,del,78.0,511665.291,1
4000,96,del,59.916,1157713.459,3
4000,97,del,78.625,496656.75,1
4000,98,ins,48.834,1184067.541,3
4000,99,ins,60.75,173474.25,1
4000,100,del,49.958,1470994.625,3
