scale,tx,op,incremental_us,full_affected_us,affected_conjuncts
500,133,del,20.75,8485.75,1
500,134,ins,13.417,8220.625,1
500,135,del,19.833,26287.375,3
500,136,ins,21.459,20877.0,3
500,137,ins,15.542,8448.791,1
500,138,del,9.875,3853.916,1
500,139,ins,8.292,8524.333,1
500,140,del,17.041,23458.0,3
500,141,ins,15.625,20819.875,3
500,142,ins,13.417,4100.042,1
500,143,del,15.375,8384.041,1
500,144,ins,9.875,8438.75,1
500,145,del,15.042,8100.041,1
500,146,ins,12.709,3820.125,1
500,147,del,18.583,27019.125,3
500,148,ins,11.959,8433.75,1
500,149,del,13.5,3940.834,1
500,150,del,13.708,3992.833,1
1000,1,del,26.5,32785.792,1
1000,2,ins,18.5,31123.459,1
1000,3,del,44.834,79190.334,3
1000,4,ins,40.75,75365.417,3
1000,5,ins,26.209,13492.083,1
1000,6,ins,24.708,16209.292,1
1000,7,del,25.708,30579.5,1
1000,8,del,40.959,97423.417,3
1000,9,ins,26.417,74961.584,3
1000,10,del,26.542,12183.541,1
1000,11,ins,21.833,12103.125,1
1000,12,del,41.5,76114.75,3
1000,13,del,20.417,12911.958,1
1000,14,del,27.542,12062.125,1
1000,15,ins,19.75,15848.167,1
1000,16,del,20.291,12909.417,1
1000,17,del,31.708,33104.042,1
1000,18,ins,24.667,30997.541,1
1000,19,ins,50.041,74904.167,3
1000,20,ins,27.083,36369.375,1
1000,21,ins,25.542,13330.0,1
1000,22,ins,31.0,76359.917,3
1000,23,del,25.792,31795.75,1
1000,24,del,27.084,31958.666,1
1000,25,ins,20.833,35126.459,1
1000,26,ins,36.375,98264.833,3
1000,27,del,36.458,77276.083,3
1000,28,del,31.333,103364.667,3
1000,29,del,27.833,32051.416,1
1000,30,ins,24.25,30977.541,1
1000,31,del,30.791,35501.25,1
1000,32,del,30.083,31612.792,1
1000,33,del,28.208,13071.209,1
1000,34,del,40.167,100422.833,3
1000,35,ins,34.333,76035.625,3
1000,36,del,56.75,97415.25,3
1000,37,del,32.208,97646.458,3
1000,38,ins,32.583,76160.791,3
1000,39,ins,19.125,31400.167,1
1000,40,ins,38.833,75957.917,3
1000,41,ins,23.667,34602.041,1
1000,42,ins,17.417,12971.208,1
1000,43,ins,21.125,31668.209,1
1000,44,del,43.958,79754.042,3
1000,45,del,32.042,31635.75,1
1000,46,ins,23.791,32449.458,1
1000,47,ins,26.292,35561.208,1
1000,48,del,29.833,12961.958,1
1000,49,del,29.75,96714.375,3
1000,50,del,32.25,76383.708,3
1000,51,ins,19.833,13117.042,1
1000,52,del,27.542,12973.417,1
1000,53,ins,23.834,31604.792,1
1000,54,ins,38.375,104246.708,3
1000,55,ins,20.875,35055.75,1
1000,56,ins,30.041,77778.625,3
1000,57,del,40.959,96745.125,3
1000,58,ins,30.666,31937.625,1
1000,59,ins,24.75,31674.625,1
1000,60,del,20.209,32187.334,1
1000,61,del,27.291,31442.375,1
1000,62,del,26.208,13445.792,1
1000,63,del,25.458,12308.708,1
1000,64,ins,23.25,12755.041,1
1000,65,del,29.417,32605.958,1
1000,66,del,29.75,32517.25,1
1000,67,del,39.208,98820.625,3
1000,68,ins,21.125,12256.208,1
1000,69,ins,31.584,101045.584,3
1000,70,del,33.708,13486.375,1
1000,71,ins,19.292,31381.458,1
1000,72,del,39.375,82443.833,3
1000,73,del,37.625,96842.708,3
1000,74,ins,26.125,32321.958,1
1000,75,ins,23.0,12972.834,1
1000,76,del,28.292,75663.208,3
1000,77,del,25.709,12816.541,1
1000,78,ins,23.833,31768.917,1
1000,79,del,24.458,12767.542,1
