scripts_before,ops,committed,affectedConjuncts,mutateMs,closeMs,totalMs
8150,100,True,110,9,177.81,186.8
8175,100,True,110,8.62,177.62,186.25
8200,100,True,110,9.76,202.42,212.18
8225,100,True,110,8.8,186.78,195.58
8250,100,True,110,8.77,178.74,187.51
8275,100,True,110,8.93,177.13,186.06
8300,100,True,110,8.86,194.07,202.93
8325,100,True,110,8.42,181.03,189.45
8350,100,True,110,8.88,185.84,194.72
8375,100,True,110,8.4,184.98,193.37
8400,100,True,110,9.38,192.42,201.8
8425,100,True,110,8.92,184.59,193.51
8450,100,True,110,8.83,196.33,205.15
8475,100,True,110,8.5,182.75,191.25
8500,100,True,110,8.31,197.71,206.02
8525,100,True,110,8.19,184.27,192.46
8550,100,True,110,9.28,185.09,194.37
8575,100,True,110,7.97,184.62,192.59
8600,100,True,110,10.5,210.82,221.33
8625,100,True,110,10.05,194.42,204.47
8650,100,True,110,9.9,191.7,201.6
8675,100,True,110,8.58,188.81,197.39
8700,100,True,110,9.16,190.03,199.19
8725,100,True,110,9.29,193.35,202.64
8750,100,True,110,8.74,187.86,196.59
8775,100,True,110,9.34,192.16,201.5
8800,100,True,110,8.69,191.86,200.56
8825,100,True,110,8.79,195.26,204.04
8850,100,True,110,8.52,186.67,195.2
8875,100,True,110,8.65,198.15,206.8
8900,100,True,110,8.84,197.72,206.56
8925,100,True,110,8.86,189.67,198.53
8950,100,True,110,9.19,198.07,207.27
8975,100,True,110,9.38,198.48,207.86
9000,100,True,110,9.49,193.18,202.68
9025,100,True,110,8.44,193.56,202
9050,100,True,110,8.83,191.18,200.01
9075,100,True,110,8.66,205.24,213.9
9100,100,True,110,8.77,194.91,203.68
9125,100,True,110,9.86,205.09,214.95
9150,100,True,110,8.7,194.57,203.27
9175,100,True,110,8.08,211.17,219.25
9200,100,True,110,9.52,201.54,211.05
9225,100,True,110,9.23,213.28,222.51
9250,100,True,110,8.98,198.95,207.94
9275,100,True,110,13.77,201.24,215.01
9300,100,True,110,8.72,196.06,204.77
9325,100,True,110,8.77,194.37,203.14
9350,100,True,110,11.03,199.26,210.29
9375,100,True,110,10.57,208.03,218.6
9400,100,True,110,8.3,196.89,205.19
9425,100,True,110,8.49,197.09,205.57
9450,100,True,110,8.43,207.81,216.24
9475,100,True,110,9.01,198.63,207.64
9500,100,True,110,8.85,203.54,212.39
9525,100,True,110,8.36,197.91,206.28
9550,100,True,110,10.48,208.91,219.4
9575,100,True,110,8.88,201.93,210.81
9600,100,True,110,8.45,201.19,209.64
9625,100,True,110,8.7,198.58,207.28
9650,100,True,110,9.73,213.06,222.79
9675,100,True,110,8.53,201.5,210.03
9700,100,True,110,13.43,215.76,229.19
9725,100,True,110,8.71,217.01,225.72
9750,100,True,110,8.3,203.55,211.86
9775,100,True,110,9.31,212.77,222.08
9800,100,True,110,8.66,204.04,212.7
9825,100,True,110,8.71,212.89,221.59
9850,100,True,110,8.31,206.38,214.69
9875,100,True,110,8.75,213.84,222.59
9900,100,True,110,8.95,207.33,216.28
9925,100,True,110,24.06,210.93,234.99
9950,100,True,110,8.26,206.96,215.22
9975,100,True,110,8.65,202.76,211.41
10000,100,True,110,8.84,208.26,217.09
10025,100,True,110,8.78,204.12,212.89
10050,100,True,110,9.78,209.78,219.56
10075,100,True,110,9.78,207.95,217.74
10100,100,True,110,8.67,221.5,230.17
10125,100,True,110,9.41,209.17,218.58
10150,100,True,110,9.37,212.44,221.81
10175,100,True,110,8.78,211.43,220.21
10200,100,True,110,14.19,207.86,222.04
10225,100,True,110,8.74,210.94,219.68
10250,100,True,110,8.91,215.11,224.02
10275,100,True,110,8.26,221.87,230.13
10300,100,True,110,9.12,207.63,216.74
10325,100,True,110,8.01,213.92,221.94
10350,100,True,110,8.89,210.35,219.24
10375,100,True,110,8.79,211.76,220.55
10400,100,True,110,8.74,211.26,219.99
10425,100,True,110,8.87,210.39,219.25
10450,100,True,110,11.22,214.77,225.98
10475,100,True,110,18.56,215.77,234.33
